pair,metric,component,layer,head,value_std
original_vs_version1,head_output_maxmatch_cosine,head_output,8,2,0.014742
original_vs_version1,head_output_maxmatch_cosine,head_output,8,3,0.039789
original_vs_version1,head_output_maxmatch_cosine,head_output,8,4,0.048262
original_vs_version1,head_output_maxmatch_cosine,head_output,8,5,0.021105
original_vs_version1,head_output_maxmatch_cosine,head_output,8,6,0.018644
original_vs_version1,head_output_maxmatch_cosine,head_output,8,7,0.03364
original_vs_version1,head_output_maxmatch_cosine,head_output,8,8,0.011322
original_vs_version1,head_output_maxmatch_cosine,head_output,8,9,0.018202
original_vs_version1,head_output_maxmatch_cosine,head_output,8,10,0.021969
original_vs_version1,head_output_maxmatch_cosine,head_output,8,11,0.029055
original_vs_version1,head_output_maxmatch_cosine,head_output,8,12,0.02409
original_vs_version1,head_output_maxmatch_cosine,head_output,8,13,0.018914
original_vs_version1,head_output_maxmatch_cosine,head_output,8,14,0.02834
original_vs_version1,head_output_maxmatch_cosine,head_output,8,15,0.015038
original_vs_version1,head_output_maxmatch_cosine,head_output,8,16,0.008555
original_vs_version1,head_output_maxmatch_cosine,head_output,8,17,0.024287
original_vs_version1,head_output_maxmatch_cosine,head_output,8,18,0.008356
original_vs_version1,head_output_maxmatch_cosine,head_output,8,19,0.034558
original_vs_version1,head_output_maxmatch_cosine,head_output,8,20,0.021976
original_vs_version1,head_output_maxmatch_cosine,head_output,8,21,0.015995
original_vs_version1,head_output_maxmatch_cosine,head_output,8,22,0.020585
original_vs_version1,head_output_maxmatch_cosine,head_output,8,23,0.030999
original_vs_version1,head_output_maxmatch_cosine,head_output,8,24,0.03027
original_vs_version1,head_output_maxmatch_cosine,head_output,8,25,0.026468
original_vs_version1,head_output_maxmatch_cosine,head_output,8,26,0.039551
original_vs_version1,head_output_maxmatch_cosine,head_output,8,27,0.036956
original_vs_version1,head_output_maxmatch_cosine,head_output,8,28,0.029609
original_vs_version1,head_output_maxmatch_cosine,head_output,8,29,0.04138
original_vs_version1,head_output_maxmatch_cosine,head_output,8,30,0.023599
original_vs_version1,head_output_maxmatch_cosine,head_output,8,31,0.037763
original_vs_version1,head_output_maxmatch_cosine,head_output,8,32,0.052492
original_vs_version1,head_output_maxmatch_cosine,head_output,8,33,0.039175
original_vs_version1,head_output_maxmatch_cosine,head_output,8,34,0.027049
original_vs_version1,head_output_maxmatch_cosine,head_output,8,35,0.026754
original_vs_version1,head_output_maxmatch_cosine,head_output,8,36,0.012637
original_vs_version1,head_output_maxmatch_cosine,head_output,8,37,0.020785
original_vs_version1,head_output_maxmatch_cosine,head_output,8,38,0.021139
original_vs_version1,head_output_maxmatch_cosine,head_output,8,39,0.015507
original_vs_version1,head_output_maxmatch_cosine,head_output,9,0,0.015863
original_vs_version1,head_output_maxmatch_cosine,head_output,9,1,0.018951
original_vs_version1,head_output_maxmatch_cosine,head_output,9,2,0.02094
original_vs_version1,head_output_maxmatch_cosine,head_output,9,3,0.024544
