pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,5,3,0.927864
original_vs_version1,head_output_maxmatch_cosine,head_output,5,4,0.924947
original_vs_version1,head_output_maxmatch_cosine,head_output,5,5,0.811717
original_vs_version1,head_output_maxmatch_cosine,head_output,5,6,0.866697
original_vs_version1,head_output_maxmatch_cosine,head_output,5,7,0.91598
original_vs_version1,head_output_maxmatch_cosine,head_output,5,8,0.823914
original_vs_version1,head_output_maxmatch_cosine,head_output,5,9,0.812937
original_vs_version1,head_output_maxmatch_cosine,head_output,5,10,0.82334
original_vs_version1,head_output_maxmatch_cosine,head_output,5,11,0.840418
original_vs_version1,head_output_maxmatch_cosine,head_output,5,12,0.815024
original_vs_version1,head_output_maxmatch_cosine,head_output,5,13,0.807363
original_vs_version1,head_output_maxmatch_cosine,head_output,5,14,0.820612
original_vs_version1,head_output_maxmatch_cosine,head_output,5,15,0.938107
original_vs_version1,head_output_maxmatch_cosine,head_output,5,16,0.984389
original_vs_version1,head_output_maxmatch_cosine,head_output,5,17,0.98401
original_vs_version1,head_output_maxmatch_cosine,head_output,5,18,0.957232
original_vs_version1,head_output_maxmatch_cosine,head_output,5,19,0.955462
original_vs_version1,head_output_maxmatch_cosine,head_output,5,20,0.893572
original_vs_version1,head_output_maxmatch_cosine,head_output,5,21,0.871703
original_vs_version1,head_output_maxmatch_cosine,head_output,5,22,0.872753
original_vs_version1,head_output_maxmatch_cosine,head_output,5,23,0.911953
original_vs_version1,head_output_maxmatch_cosine,head_output,5,24,0.867412
original_vs_version1,head_output_maxmatch_cosine,head_output,5,25,0.88489
original_vs_version1,head_output_maxmatch_cosine,head_output,5,26,0.806163
original_vs_version1,head_output_maxmatch_cosine,head_output,5,27,0.778087
original_vs_version1,head_output_maxmatch_cosine,head_output,5,28,0.889644
original_vs_version1,head_output_maxmatch_cosine,head_output,5,29,0.810508
original_vs_version1,head_output_maxmatch_cosine,head_output,5,30,0.919069
original_vs_version1,head_output_maxmatch_cosine,head_output,5,31,0.88358
original_vs_version1,head_output_maxmatch_cosine,head_output,5,32,0.910734
original_vs_version1,head_output_maxmatch_cosine,head_output,5,33,0.912196
original_vs_version1,head_output_maxmatch_cosine,head_output,5,34,0.900851
original_vs_version1,head_output_maxmatch_cosine,head_output,5,35,0.908751
original_vs_version1,head_output_maxmatch_cosine,head_output,5,36,0.894335
original_vs_version1,head_output_maxmatch_cosine,head_output,5,37,0.924586
original_vs_version1,head_output_maxmatch_cosine,head_output,5,38,0.877619
original_vs_version1,head_output_maxmatch_cosine,head_output,5,39,0.886717
original_vs_version1,head_output_maxmatch_cosine,head_output,6,0,0.849585
original_vs_version1,head_output_maxmatch_cosine,head_output,6,1,0.863402
original_vs_version1,head_output_maxmatch_cosine,head_output,6,2,0.845833
original_vs_version1,head_output_maxmatch_cosine,head_output,6,3,0.871286
original_vs_version1,head_output_maxmatch_cosine,head_output,6,4,0.887107
original_vs_version1,head_output_maxmatch_cosine,head_output,6,5,0.895983
original_vs_version1,head_output_maxmatch_cosine,head_output,6,6,0.878832
original_vs_version1,head_output_maxmatch_cosine,head_output,6,7,0.846163
original_vs_version1,head_output_maxmatch_cosine,head_output,6,8,0.915105
original_vs_version1,head_output_maxmatch_cosine,head_output,6,9,0.862108
original_vs_version1,head_output_maxmatch_cosine,head_output,6,10,0.851189
original_vs_version1,head_output_maxmatch_cosine,head_output,6,11,0.872008
original_vs_version1,head_output_maxmatch_cosine,head_output,6,12,0.844176
original_vs_version1,head_output_maxmatch_cosine,head_output,6,13,0.887304
original_vs_version1,head_output_maxmatch_cosine,head_output,6,14,0.839728
original_vs_version1,head_output_maxmatch_cosine,head_output,6,15,0.770318
original_vs_version1,head_output_maxmatch_cosine,head_output,6,16,0.773314
original_vs_version1,head_output_maxmatch_cosine,head_output,6,17,0.796526
original_vs_version1,head_output_maxmatch_cosine,head_output,6,18,0.785894
original_vs_version1,head_output_maxmatch_cosine,head_output,6,19,0.774302
original_vs_version1,head_output_maxmatch_cosine,head_output,6,20,0.939189
original_vs_version1,head_output_maxmatch_cosine,head_output,6,21,0.840556
original_vs_version1,head_output_maxmatch_cosine,head_output,6,22,0.888878
original_vs_version1,head_output_maxmatch_cosine,head_output,6,23,0.799708
