pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
version1_vs_version3,3,33,15,1,1,0.199032,0.046786,0.195018,0.650332,0.148731,0.607212,0.132587,0.040591,0.135043,0.390691,0.035322,0.394891
version1_vs_version3,3,21,15,1,1,0.229603,0.044659,0.224098,0.704586,0.07338,0.690881,0.118405,0.029557,0.130656,0.441165,0.058413,0.458369
version1_vs_version3,3,31,15,1,1,0.169132,0.033216,0.165267,0.707797,0.123328,0.65707,0.105882,0.041391,0.10788,0.371633,0.020925,0.370603
version1_vs_version3,10,15,15,1,1,0.182764,0.025501,0.17565,0.710903,0.051472,0.694303,0.096073,0.029501,0.101421,0.823931,0.054186,0.832403
version1_vs_version3,35,22,15,1,1,0.333643,0.065806,0.336146,0.713781,0.072895,0.727476,0.187659,0.054426,0.178557,3.851357,1.236255,3.834252
version1_vs_version3,2,33,15,1,1,0.288302,0.061811,0.286523,0.713948,0.095641,0.681756,0.156058,0.053561,0.15454,0.180602,0.010304,0.180161
version1_vs_version3,1,33,15,1,1,0.083155,0.014897,0.079939,0.715823,0.069111,0.706187,0.069741,0.0161,0.067448,0.453871,0.037794,0.443332
version1_vs_version3,13,22,15,1,1,0.112943,0.016059,0.113882,0.716056,0.056459,0.700059,0.064616,0.011054,0.065959,2.963819,0.087545,2.976818
version1_vs_version3,0,17,15,1,1,0.198669,0.033674,0.198036,0.717044,0.093079,0.689504,0.125739,0.082877,0.111974,0.331953,0.024334,0.3272
version1_vs_version3,0,29,15,1,1,0.164193,0.033553,0.155405,0.718948,0.077946,0.684266,0.128375,0.045729,0.131263,0.166678,0.006659,0.166319
version1_vs_version3,24,5,15,1,1,0.105539,0.010831,0.107054,0.7231,0.056329,0.71312,0.0505,0.011211,0.048165,10.884272,0.1823,10.890526
version1_vs_version3,2,30,15,1,1,0.294034,0.046466,0.282426,0.725797,0.07177,0.712531,0.156089,0.039645,0.144742,0.176533,0.015465,0.178167
version1_vs_version3,3,20,15,1,1,0.222352,0.049801,0.213944,0.727345,0.059709,0.718504,0.095434,0.022929,0.097175,0.608705,0.081156,0.618554
