layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,32,original_vs_version2,15,1,1,0.406682,0.01575,0.404704
0,32,original_vs_version3,15,1,1,0.406706,0.017235,0.400286
0,32,version1_vs_version2,15,1,1,0.421374,0.0129,0.422025
0,32,version1_vs_version3,15,1,1,0.421523,0.013104,0.425827
0,32,version2_vs_version3,15,1,1,0.411476,0.018099,0.406593
0,33,original_vs_version1,15,1,1,0.091181,0.006534,0.093019
0,33,original_vs_version2,15,1,1,0.084169,0.008632,0.08094
0,33,original_vs_version3,15,1,1,0.084414,0.007705,0.083625
0,33,version1_vs_version2,15,1,1,0.090975,0.006711,0.090509
0,33,version1_vs_version3,15,1,1,0.091444,0.005786,0.090663
0,33,version2_vs_version3,15,1,1,0.084774,0.008462,0.083511
0,34,original_vs_version1,15,1,1,0.358295,0.019769,0.362614
0,34,original_vs_version2,15,1,1,0.331838,0.023786,0.326437
0,34,original_vs_version3,15,1,1,0.331064,0.022632,0.326495
0,34,version1_vs_version2,15,1,1,0.36791,0.024677,0.367296
0,34,version1_vs_version3,15,1,1,0.367334,0.022778,0.362124
0,34,version2_vs_version3,15,1,1,0.340858,0.034052,0.329331
0,35,original_vs_version1,15,1,1,0.360952,0.021533,0.36245
0,35,original_vs_version2,15,1,1,0.316781,0.032317,0.314549
0,35,original_vs_version3,15,1,1,0.314792,0.036096,0.315464
0,35,version1_vs_version2,15,1,1,0.371559,0.022975,0.380597
0,35,version1_vs_version3,15,1,1,0.370948,0.02393,0.373981
0,35,version2_vs_version3,15,1,1,0.325823,0.047905,0.31168
0,36,original_vs_version1,15,1,1,0.446697,0.017133,0.451119
0,36,original_vs_version2,15,1,1,0.427655,0.020492,0.43014
0,36,original_vs_version3,15,1,1,0.428021,0.022836,0.430354
0,36,version1_vs_version2,15,1,1,0.452566,0.01661,0.447557
0,36,version1_vs_version3,15,1,1,0.453351,0.017878,0.44991
0,36,version2_vs_version3,15,1,1,0.434098,0.025969,0.430995
0,37,original_vs_version1,15,1,1,0.199182,0.013491,0.194344
0,37,original_vs_version2,15,1,1,0.185607,0.013635,0.180905
0,37,original_vs_version3,15,1,1,0.183932,0.013865,0.184121
0,37,version1_vs_version2,15,1,1,0.201253,0.014384,0.203494
0,37,version1_vs_version3,15,1,1,0.200204,0.014575,0.196299
0,37,version2_vs_version3,15,1,1,0.186171,0.016343,0.180847
0,38,original_vs_version1,15,1,1,0.22062,0.01614,0.221542
0,38,original_vs_version2,15,1,1,0.205312,0.013468,0.203215
0,38,original_vs_version3,15,1,1,0.201987,0.018004,0.206155
0,38,version1_vs_version2,15,1,1,0.22588,0.01044,0.228624
0,38,version1_vs_version3,15,1,1,0.223328,0.016085,0.223653
0,38,version2_vs_version3,15,1,1,0.207465,0.017881,0.202782
0,39,original_vs_version1,15,1,1,0.15467,0.009299,0.155416
0,39,original_vs_version2,15,1,1,0.142493,0.01117,0.136454
0,39,original_vs_version3,15,1,1,0.142668,0.011638,0.138186
0,39,version1_vs_version2,15,1,1,0.155495,0.009727,0.153293
0,39,version1_vs_version3,15,1,1,0.156161,0.009333,0.157487
0,39,version2_vs_version3,15,1,1,0.143382,0.015408,0.136705
1,0,original_vs_version1,15,1,1,0.198915,0.01561,0.204352
1,0,original_vs_version2,15,1,1,0.223539,0.028962,0.225333
1,0,original_vs_version3,15,1,1,0.226695,0.030988,0.233336
1,0,version1_vs_version2,15,1,1,0.182952,0.022607,0.182445
1,0,version1_vs_version3,15,1,1,0.186612,0.025847,0.191429
1,0,version2_vs_version3,15,1,1,0.211073,0.041008,0.220361
1,1,original_vs_version1,15,1,1,0.299961,0.038659,0.290416
1,1,original_vs_version2,15,1,1,0.289431,0.030403,0.287514
1,1,original_vs_version3,15,1,1,0.28541,0.026925,0.283412
1,1,version1_vs_version2,15,1,1,0.294617,0.03502,0.28378
1,1,version1_vs_version3,15,1,1,0.291282,0.030494,0.29585
1,1,version2_vs_version3,15,1,1,0.279791,0.024841,0.277319
1,2,original_vs_version1,15,1,1,0.470241,0.036462,0.473525
1,2,original_vs_version2,15,1,1,0.437749,0.023711,0.437599
1,2,original_vs_version3,15,1,1,0.435605,0.026096,0.439839
1,2,version1_vs_version2,15,1,1,0.469579,0.038129,0.461367
1,2,version1_vs_version3,15,1,1,0.46819,0.04334,0.458611
1,2,version2_vs_version3,15,1,1,0.43431,0.031793,0.424571
1,3,original_vs_version1,15,1,1,0.411037,0.023061,0.405002
1,3,original_vs_version2,15,1,1,0.38265,0.017974,0.384991
1,3,original_vs_version3,15,1,1,0.381724,0.018639,0.379238
1,3,version1_vs_version2,15,1,1,0.411421,0.023846,0.405486
1,3,version1_vs_version3,15,1,1,0.410216,0.027944,0.405179
1,3,version2_vs_version3,15,1,1,0.381773,0.023765,0.377274
1,4,original_vs_version1,15,1,1,0.51449,0.043045,0.514639
1,4,original_vs_version2,15,1,1,0.462087,0.047299,0.454207
1,4,original_vs_version3,15,1,1,0.459419,0.051981,0.463621
1,4,version1_vs_version2,15,1,1,0.527715,0.050469,0.525627
1,4,version1_vs_version3,15,1,1,0.52484,0.051934,0.533286
1,4,version2_vs_version3,15,1,1,0.472211,0.067051,0.45464
1,5,original_vs_version1,15,1,1,0.23378,0.012129,0.234959
1,5,original_vs_version2,15,1,1,0.223842,0.016071,0.230409
1,5,original_vs_version3,15,1,1,0.224036,0.015336,0.228158
1,5,version1_vs_version2,15,1,1,0.232839,0.013575,0.22912
1,5,version1_vs_version3,15,1,1,0.232601,0.012171,0.228677
1,5,version2_vs_version3,15,1,1,0.222418,0.015193,0.216845
1,6,original_vs_version1,15,1,1,0.184919,0.013637,0.181909
1,6,original_vs_version2,15,1,1,0.118926,0.038322,0.098889
1,6,original_vs_version3,15,1,1,0.118548,0.036563,0.099836
1,6,version1_vs_version2,15,1,1,0.187233,0.013012,0.186447
1,6,version1_vs_version3,15,1,1,0.186798,0.011947,0.186974
1,6,version2_vs_version3,15,1,1,0.11935,0.039653,0.098748
1,7,original_vs_version1,15,1,1,0.123344,0.004304,0.12137
1,7,original_vs_version2,15,1,1,0.114547,0.007799,0.116811
1,7,original_vs_version3,15,1,1,0.113917,0.007159,0.113098
1,7,version1_vs_version2,15,1,1,0.121868,0.005695,0.120434
1,7,version1_vs_version3,15,1,1,0.121054,0.004603,0.122523
1,7,version2_vs_version3,15,1,1,0.111914,0.005446,0.111347
1,8,original_vs_version1,15,1,1,0.14817,0.007267,0.146579
1,8,original_vs_version2,15,1,1,0.128795,0.015468,0.123027
1,8,original_vs_version3,15,1,1,0.127998,0.016028,0.120237
1,8,version1_vs_version2,15,1,1,0.146277,0.007608,0.142579
1,8,version1_vs_version3,15,1,1,0.145993,0.006983,0.144386
1,8,version2_vs_version3,15,1,1,0.125193,0.011968,0.122571
1,9,original_vs_version1,15,1,1,0.123574,0.007976,0.123031
1,9,original_vs_version2,15,1,1,0.117911,0.008588,0.117428
1,9,original_vs_version3,15,1,1,0.117882,0.010204,0.115137
1,9,version1_vs_version2,15,1,1,0.120689,0.008606,0.124022
1,9,version1_vs_version3,15,1,1,0.120181,0.009535,0.118721
1,9,version2_vs_version3,15,1,1,0.114831,0.009677,0.113864
1,10,original_vs_version1,15,1,1,0.245248,0.014528,0.24229
1,10,original_vs_version2,15,1,1,0.235287,0.016635,0.231679
1,10,original_vs_version3,15,1,1,0.234726,0.017202,0.229634
1,10,version1_vs_version2,15,1,1,0.241867,0.01467,0.236749
1,10,version1_vs_version3,15,1,1,0.241188,0.016531,0.238191
1,10,version2_vs_version3,15,1,1,0.230259,0.016996,0.22728
1,11,original_vs_version1,15,1,1,0.223532,0.011075,0.222636
1,11,original_vs_version2,15,1,1,0.213327,0.014394,0.215448
1,11,original_vs_version3,15,1,1,0.212511,0.014295,0.214034
1,11,version1_vs_version2,15,1,1,0.223112,0.008802,0.225463
1,11,version1_vs_version3,15,1,1,0.222059,0.009562,0.221963
1,11,version2_vs_version3,15,1,1,0.211618,0.013499,0.213167
1,12,original_vs_version1,15,1,1,0.137648,0.004491,0.137405
1,12,original_vs_version2,15,1,1,0.137354,0.005532,0.137527
1,12,original_vs_version3,15,1,1,0.136967,0.00357,0.13766
1,12,version1_vs_version2,15,1,1,0.137762,0.003884,0.138116
1,12,version1_vs_version3,15,1,1,0.136949,0.003783,0.136544
1,12,version2_vs_version3,15,1,1,0.137247,0.003313,0.136861
1,13,original_vs_version1,15,1,1,0.376463,0.012389,0.37532
1,13,original_vs_version2,15,1,1,0.366904,0.015258,0.362199
1,13,original_vs_version3,15,1,1,0.367126,0.009638,0.365807
1,13,version1_vs_version2,15,1,1,0.376629,0.0126,0.374627
1,13,version1_vs_version3,15,1,1,0.37687,0.009997,0.374855
1,13,version2_vs_version3,15,1,1,0.367071,0.011308,0.364134
1,14,original_vs_version1,15,1,1,0.210828,0.010409,0.208631
1,14,original_vs_version2,15,1,1,0.201923,0.00983,0.202508
1,14,original_vs_version3,15,1,1,0.202158,0.01037,0.201405
1,14,version1_vs_version2,15,1,1,0.20989,0.008691,0.209931
1,14,version1_vs_version3,15,1,1,0.210567,0.00949,0.208748
1,14,version2_vs_version3,15,1,1,0.199985,0.008819,0.200295
1,15,original_vs_version1,15,1,1,0.189456,0.010577,0.190144
1,15,original_vs_version2,15,1,1,0.183782,0.010828,0.183677
1,15,original_vs_version3,15,1,1,0.18674,0.011331,0.185522
1,15,version1_vs_version2,15,1,1,0.187928,0.009595,0.190305
1,15,version1_vs_version3,15,1,1,0.190792,0.01026,0.189943
1,15,version2_vs_version3,15,1,1,0.184401,0.009885,0.183632
1,16,original_vs_version1,15,1,1,0.079069,0.008159,0.077878
1,16,original_vs_version2,15,1,1,0.077273,0.008179,0.074974
1,16,original_vs_version3,15,1,1,0.078462,0.008168,0.075123
1,16,version1_vs_version2,15,1,1,0.073347,0.006573,0.073351
1,16,version1_vs_version3,15,1,1,0.074119,0.006097,0.074565
1,16,version2_vs_version3,15,1,1,0.072749,0.006844,0.0727
1,17,original_vs_version1,15,1,1,0.334352,0.021127,0.340373
1,17,original_vs_version2,15,1,1,0.352885,0.028281,0.360102
1,17,original_vs_version3,15,1,1,0.354557,0.025762,0.360182
1,17,version1_vs_version2,15,1,1,0.319812,0.032264,0.33054
1,17,version1_vs_version3,15,1,1,0.321899,0.029532,0.33248
1,17,version2_vs_version3,15,1,1,0.33973,0.040271,0.353727
1,18,original_vs_version1,15,1,1,0.196837,0.010168,0.196969
1,18,original_vs_version2,15,1,1,0.192922,0.012566,0.193577
1,18,original_vs_version3,15,1,1,0.192444,0.010794,0.192008
1,18,version1_vs_version2,15,1,1,0.197367,0.011027,0.195721
1,18,version1_vs_version3,15,1,1,0.197156,0.00944,0.195427
1,18,version2_vs_version3,15,1,1,0.192494,0.011002,0.194081
1,19,original_vs_version1,15,1,1,0.326536,0.00672,0.325353
1,19,original_vs_version2,15,1,1,0.31775,0.009964,0.317222
1,19,original_vs_version3,15,1,1,0.321146,0.011198,0.317087
1,19,version1_vs_version2,15,1,1,0.326241,0.005867,0.325051
1,19,version1_vs_version3,15,1,1,0.329554,0.007569,0.328624
1,19,version2_vs_version3,15,1,1,0.320087,0.0111,0.316339
1,20,original_vs_version1,15,1,1,0.443644,0.017093,0.43918
1,20,original_vs_version2,15,1,1,0.403919,0.030308,0.402383
1,20,original_vs_version3,15,1,1,0.406033,0.030722,0.400696
1,20,version1_vs_version2,15,1,1,0.448211,0.023557,0.444292
1,20,version1_vs_version3,15,1,1,0.450554,0.023286,0.440507
1,20,version2_vs_version3,15,1,1,0.410273,0.044955,0.386113
1,21,original_vs_version1,15,1,1,0.48273,0.020363,0.479837
1,21,original_vs_version2,15,1,1,0.457185,0.023749,0.448839
1,21,original_vs_version3,15,1,1,0.460166,0.023398,0.451464
1,21,version1_vs_version2,15,1,1,0.48656,0.023528,0.490694
1,21,version1_vs_version3,15,1,1,0.489027,0.023477,0.484707
1,21,version2_vs_version3,15,1,1,0.463857,0.037087,0.447815
1,22,original_vs_version1,15,1,1,0.494806,0.019253,0.48848
1,22,original_vs_version2,15,1,1,0.466179,0.031348,0.465591
1,22,original_vs_version3,15,1,1,0.46871,0.032157,0.464313
1,22,version1_vs_version2,15,1,1,0.503418,0.02352,0.505354
1,22,version1_vs_version3,15,1,1,0.505895,0.024604,0.506421
1,22,version2_vs_version3,15,1,1,0.477163,0.04416,0.464604
1,23,original_vs_version1,15,1,1,0.262851,0.027011,0.270089
1,23,original_vs_version2,15,1,1,0.230387,0.028429,0.230119
1,23,original_vs_version3,15,1,1,0.229551,0.021674,0.230508
1,23,version1_vs_version2,15,1,1,0.268182,0.033407,0.266282
1,23,version1_vs_version3,15,1,1,0.267086,0.029076,0.258826
1,23,version2_vs_version3,15,1,1,0.234476,0.032232,0.222699
1,24,original_vs_version1,15,1,1,0.344858,0.035661,0.335084
1,24,original_vs_version2,15,1,1,0.234578,0.068201,0.208005
1,24,original_vs_version3,15,1,1,0.235107,0.065616,0.2043
1,24,version1_vs_version2,15,1,1,0.36892,0.058766,0.361014
1,24,version1_vs_version3,15,1,1,0.369442,0.058179,0.368127
1,24,version2_vs_version3,15,1,1,0.25828,0.117391,0.20154
1,25,original_vs_version1,15,1,1,0.16856,0.006276,0.167468
1,25,original_vs_version2,15,1,1,0.168946,0.006879,0.167811
1,25,original_vs_version3,15,1,1,0.168589,0.006069,0.169204
1,25,version1_vs_version2,15,1,1,0.168317,0.006099,0.16827
