layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,21,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.115149,,0.115149
0,21,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.109795,,0.109795
0,21,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.108057,,0.108057
0,21,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.108312,,0.108312
0,21,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.097823,,0.097823
0,22,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.372959,,0.372959
0,22,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.346299,,0.346299
0,22,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.38974,,0.38974
0,22,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.433366,,0.433366
0,22,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.421351,,0.421351
0,22,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.452304,,0.452304
0,23,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.104287,,0.104287
0,23,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.094962,,0.094962
0,23,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.111158,,0.111158
0,23,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.098857,,0.098857
0,23,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.095294,,0.095294
0,23,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.107034,,0.107034
0,24,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.159069,,0.159069
0,24,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.106205,,0.106205
0,24,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.152544,,0.152544
0,24,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.111435,,0.111435
0,24,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.123091,,0.123091
0,24,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.158061,,0.158061
0,25,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.280273,,0.280273
0,25,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.261295,,0.261295
0,25,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.300828,,0.300828
0,25,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.349015,,0.349015
0,25,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.334745,,0.334745
0,25,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.354511,,0.354511
0,26,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.163927,,0.163927
0,26,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.144813,,0.144813
0,26,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.170439,,0.170439
0,26,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.173058,,0.173058
0,26,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.174211,,0.174211
0,26,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.179456,,0.179456
0,27,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.212733,,0.212733
0,27,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.110273,,0.110273
0,27,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.216324,,0.216324
0,27,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.30919,,0.30919
0,27,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.306655,,0.306655
0,27,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.356939,,0.356939
0,28,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.16876,,0.16876
0,28,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.147952,,0.147952
0,28,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.170447,,0.170447
0,28,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.170783,,0.170783
0,28,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.177573,,0.177573
0,28,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.181162,,0.181162
0,29,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.171226,,0.171226
0,29,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.156047,,0.156047
0,29,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.177207,,0.177207
0,29,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.17491,,0.17491
0,29,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.177992,,0.177992
0,29,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.178731,,0.178731
0,30,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.226013,,0.226013
0,30,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.210186,,0.210186
0,30,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.240793,,0.240793
0,30,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.252628,,0.252628
0,30,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.244513,,0.244513
0,30,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.270832,,0.270832
0,31,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.254416,,0.254416
0,31,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.230061,,0.230061
0,31,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.261328,,0.261328
0,31,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.264652,,0.264652
0,31,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.263715,,0.263715
0,31,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.291365,,0.291365
0,32,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.363254,,0.363254
0,32,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.358773,,0.358773
0,32,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.390355,,0.390355
0,32,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.408225,,0.408225
0,32,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.386287,,0.386287
0,32,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.41342,,0.41342
0,33,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.087244,,0.087244
0,33,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.089843,,0.089843
0,33,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.092649,,0.092649
0,33,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.090028,,0.090028
0,33,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.08807,,0.08807
0,33,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.088163,,0.088163
0,34,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.360404,,0.360404
0,34,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.33386,,0.33386
0,34,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.377669,,0.377669
0,34,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.419172,,0.419172
0,34,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.407556,,0.407556
0,34,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.439721,,0.439721
0,35,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.270384,,0.270384
0,35,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.237192,,0.237192
0,35,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.310795,,0.310795
0,35,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.390896,,0.390896
0,35,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.365985,,0.365985
0,35,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.416168,,0.416168
0,36,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.382586,,0.382586
0,36,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.37376,,0.37376
0,36,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.400589,,0.400589
0,36,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.455539,,0.455539
0,36,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.44818,,0.44818
0,36,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.467295,,0.467295
0,37,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.143348,,0.143348
0,37,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.143458,,0.143458
0,37,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.164943,,0.164943
0,37,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.186174,,0.186174
0,37,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.172581,,0.172581
0,37,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.189486,,0.189486
0,38,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.174497,,0.174497
0,38,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.159084,,0.159084
0,38,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.191135,,0.191135
0,38,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.208745,,0.208745
0,38,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.200023,,0.200023
0,38,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.226593,,0.226593
0,39,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.122809,,0.122809
0,39,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.12549,,0.12549
0,39,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.144191,,0.144191
0,39,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.164035,,0.164035
0,39,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.152795,,0.152795
0,39,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.167624,,0.167624
1,0,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.227003,,0.227003
1,0,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.263999,,0.263999
1,0,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.201662,,0.201662
1,0,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.182664,,0.182664
