pair,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
version2_vs_version3,head_output,head_output,cka_linear_valid_only,0.701965,0.189761,0.736468,0.014198,0.999404,4800,cka: higher means more structurally similar; valid only
version2_vs_version3,head_output,head_output,cka_valid_rate,0.06,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version1,residual,residual,mean_pairwise_cosine,0.487384,0.098858,0.492246,0.038786,0.71571,2050,cosine: higher means more similar
original_vs_version1,residual,residual,maxmatch_cosine,0.897069,0.046872,0.904576,0.511901,0.972267,2050,cosine: higher means more similar
original_vs_version1,residual,residual,mmd_rbf,0.0143,0.032618,0.007876,0.001882,0.390049,2050,mmd_rbf: lower means more similar
original_vs_version1,residual,residual,cka_linear_valid_only,0.702401,0.262794,0.694918,0.108889,0.999939,123,cka: higher means more structurally similar; valid only
original_vs_version1,residual,residual,cka_valid_rate,0.06,,,,,2050,fraction of rows with a valid CKA comparison
original_vs_version2,residual,residual,mean_pairwise_cosine,0.506437,0.091396,0.503803,0.083776,0.748927,2050,cosine: higher means more similar
original_vs_version2,residual,residual,maxmatch_cosine,0.958898,0.016829,0.961762,0.734878,0.988093,2050,cosine: higher means more similar
original_vs_version2,residual,residual,mmd_rbf,0.00254,0.003161,0.002062,0.000289,0.127477,2050,mmd_rbf: lower means more similar
original_vs_version2,residual,residual,cka_linear_valid_only,0.893354,0.127679,0.937174,0.443859,0.999986,205,cka: higher means more structurally similar; valid only
original_vs_version2,residual,residual,cka_valid_rate,0.1,,,,,2050,fraction of rows with a valid CKA comparison
original_vs_version3,residual,residual,mean_pairwise_cosine,0.50575,0.091029,0.503391,0.085938,0.750683,2050,cosine: higher means more similar
original_vs_version3,residual,residual,maxmatch_cosine,0.939403,0.02218,0.941563,0.73752,0.9896,2050,cosine: higher means more similar
original_vs_version3,residual,residual,mmd_rbf,0.003653,0.00357,0.003161,0.000601,0.145006,2050,mmd_rbf: lower means more similar
original_vs_version3,residual,residual,cka_linear_valid_only,0.699586,0.273041,0.643061,0.217282,0.999858,41,cka: higher means more structurally similar; valid only
original_vs_version3,residual,residual,cka_valid_rate,0.02,,,,,2050,fraction of rows with a valid CKA comparison
version1_vs_version2,residual,residual,mean_pairwise_cosine,0.488054,0.098733,0.492133,0.036077,0.714682,2050,cosine: higher means more similar
version1_vs_version2,residual,residual,maxmatch_cosine,0.897864,0.046624,0.903938,0.503642,0.983506,2050,cosine: higher means more similar
version1_vs_version2,residual,residual,mmd_rbf,0.013954,0.031956,0.007774,0.001395,0.39324,2050,mmd_rbf: lower means more similar
version1_vs_version2,residual,residual,cka_linear_valid_only,0.832502,0.179016,0.84015,0.334648,0.999864,41,cka: higher means more structurally similar; valid only
version1_vs_version2,residual,residual,cka_valid_rate,0.02,,,,,2050,fraction of rows with a valid CKA comparison
version1_vs_version3,residual,residual,mean_pairwise_cosine,0.488163,0.098642,0.492513,0.034613,0.721467,2050,cosine: higher means more similar
version1_vs_version3,residual,residual,maxmatch_cosine,0.891068,0.047088,0.895568,0.502618,0.98293,2050,cosine: higher means more similar
version1_vs_version3,residual,residual,mmd_rbf,0.014569,0.032174,0.008311,0.001541,0.380128,2050,mmd_rbf: lower means more similar
version1_vs_version3,residual,residual,cka_linear_valid_only,0.744258,0.238468,0.709151,0.347445,0.999885,41,cka: higher means more structurally similar; valid only
version1_vs_version3,residual,residual,cka_valid_rate,0.02,,,,,2050,fraction of rows with a valid CKA comparison
version2_vs_version3,residual,residual,mean_pairwise_cosine,0.506764,0.090988,0.504842,0.083711,0.752199,2050,cosine: higher means more similar
version2_vs_version3,residual,residual,maxmatch_cosine,0.948849,0.018864,0.950707,0.799361,0.99148,2050,cosine: higher means more similar
version2_vs_version3,residual,residual,mmd_rbf,0.0026,0.000972,0.002481,0.000308,0.006727,2050,mmd_rbf: lower means more similar
version2_vs_version3,residual,residual,cka_linear_valid_only,0.82888,0.176591,0.839314,0.314908,0.999911,123,cka: higher means more structurally similar; valid only
version2_vs_version3,residual,residual,cka_valid_rate,0.06,,,,,2050,fraction of rows with a valid CKA comparison
