pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gsm8k_orgn_vs_gsm8k_ver1,40,1,1,-0.0146,,-0.0146,0.321265,,0.321265,0.632947,,0.632947
gsm8k_ver1_vs_gpqa_orgn,0,1,1,0.089995,,0.089995,0.323733,,0.323733,0.02008,,0.02008
gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.522093,,0.522093,0.711682,,0.711682,0.074522,,0.074522
gsm8k_ver1_vs_gpqa_orgn,2,1,1,0.537693,,0.537693,0.719868,,0.719868,0.081501,,0.081501
gsm8k_ver1_vs_gpqa_orgn,3,1,1,0.494088,,0.494088,0.682655,,0.682655,0.061261,,0.061261
gsm8k_ver1_vs_gpqa_orgn,4,1,1,0.490942,,0.490942,0.680665,,0.680665,0.050573,,0.050573
gsm8k_ver1_vs_gpqa_orgn,5,1,1,0.496444,,0.496444,0.685349,,0.685349,0.054036,,0.054036
gsm8k_ver1_vs_gpqa_orgn,6,1,1,0.452146,,0.452146,0.645482,,0.645482,0.052912,,0.052912
gsm8k_ver1_vs_gpqa_orgn,7,1,1,0.42068,,0.42068,0.609841,,0.609841,0.047587,,0.047587
gsm8k_ver1_vs_gpqa_orgn,8,1,1,0.438399,,0.438399,0.621888,,0.621888,0.06198,,0.06198
gsm8k_ver1_vs_gpqa_orgn,9,1,1,0.439812,,0.439812,0.616786,,0.616786,0.05345,,0.05345
gsm8k_ver1_vs_gpqa_orgn,10,1,1,0.42598,,0.42598,0.606127,,0.606127,0.041613,,0.041613
gsm8k_ver1_vs_gpqa_orgn,11,1,1,0.422107,,0.422107,0.602085,,0.602085,0.038437,,0.038437
gsm8k_ver1_vs_gpqa_orgn,12,1,1,0.376504,,0.376504,0.560031,,0.560031,0.039006,,0.039006
gsm8k_ver1_vs_gpqa_orgn,13,1,1,0.325452,,0.325452,0.518462,,0.518462,0.047891,,0.047891
gsm8k_ver1_vs_gpqa_orgn,14,1,1,0.327021,,0.327021,0.512639,,0.512639,0.045653,,0.045653
gsm8k_ver1_vs_gpqa_orgn,15,1,1,0.329617,,0.329617,0.512561,,0.512561,0.046007,,0.046007
gsm8k_ver1_vs_gpqa_orgn,16,1,1,0.342245,,0.342245,0.517035,,0.517035,0.049006,,0.049006
gsm8k_ver1_vs_gpqa_orgn,17,1,1,0.36183,,0.36183,0.534445,,0.534445,0.049405,,0.049405
gsm8k_ver1_vs_gpqa_orgn,18,1,1,0.384183,,0.384183,0.549499,,0.549499,0.051586,,0.051586
gsm8k_ver1_vs_gpqa_orgn,19,1,1,0.386304,,0.386304,0.555734,,0.555734,0.052877,,0.052877
gsm8k_ver1_vs_gpqa_orgn,20,1,1,0.389207,,0.389207,0.548062,,0.548062,0.051393,,0.051393
gsm8k_ver1_vs_gpqa_orgn,21,1,1,0.445149,,0.445149,0.605411,,0.605411,0.046187,,0.046187
gsm8k_ver1_vs_gpqa_orgn,22,1,1,0.416322,,0.416322,0.573221,,0.573221,0.049957,,0.049957
gsm8k_ver1_vs_gpqa_orgn,23,1,1,0.435423,,0.435423,0.582431,,0.582431,0.053527,,0.053527
gsm8k_ver1_vs_gpqa_orgn,24,1,1,0.462823,,0.462823,0.610765,,0.610765,0.050351,,0.050351
gsm8k_ver1_vs_gpqa_orgn,25,1,1,0.451456,,0.451456,0.596594,,0.596594,0.056976,,0.056976
gsm8k_ver1_vs_gpqa_orgn,26,1,1,0.456826,,0.456826,0.594759,,0.594759,0.059298,,0.059298
gsm8k_ver1_vs_gpqa_orgn,27,1,1,0.468462,,0.468462,0.597408,,0.597408,0.06524,,0.06524
gsm8k_ver1_vs_gpqa_orgn,28,1,1,0.463492,,0.463492,0.599752,,0.599752,0.057027,,0.057027
gsm8k_ver1_vs_gpqa_orgn,29,1,1,0.433126,,0.433126,0.574024,,0.574024,0.053655,,0.053655
gsm8k_ver1_vs_gpqa_orgn,30,1,1,0.429352,,0.429352,0.560176,,0.560176,0.05773,,0.05773
gsm8k_ver1_vs_gpqa_orgn,31,1,1,0.441581,,0.441581,0.576981,,0.576981,0.053998,,0.053998
gsm8k_ver1_vs_gpqa_orgn,32,1,1,0.450624,,0.450624,0.587797,,0.587797,0.057521,,0.057521
gsm8k_ver1_vs_gpqa_orgn,33,1,1,0.45312,,0.45312,0.589684,,0.589684,0.057018,,0.057018
gsm8k_ver1_vs_gpqa_orgn,34,1,1,0.4859,,0.4859,0.634806,,0.634806,0.053202,,0.053202
gsm8k_ver1_vs_gpqa_orgn,35,1,1,0.493168,,0.493168,0.617921,,0.617921,0.054885,,0.054885
gsm8k_ver1_vs_gpqa_orgn,36,1,1,0.529742,,0.529742,0.65329,,0.65329,0.055629,,0.055629
gsm8k_ver1_vs_gpqa_orgn,37,1,1,0.546427,,0.546427,0.664051,,0.664051,0.060166,,0.060166
gsm8k_ver1_vs_gpqa_orgn,38,1,1,0.581388,,0.581388,0.688303,,0.688303,0.077817,,0.077817
gsm8k_ver1_vs_gpqa_orgn,39,1,1,0.676588,,0.676588,0.762575,,0.762575,0.116816,,0.116816
gsm8k_ver1_vs_gpqa_orgn,40,1,1,0.009477,,0.009477,0.419425,,0.419425,0.517486,,0.517486
gsm8k_ver1_vs_gpqa_ver1,0,1,1,0.091286,,0.091286,0.425049,,0.425049,0.012887,,0.012887
gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.481674,,0.481674,0.715344,,0.715344,0.025746,,0.025746
gsm8k_ver1_vs_gpqa_ver1,2,1,1,0.50302,,0.50302,0.712786,,0.712786,0.036492,,0.036492
gsm8k_ver1_vs_gpqa_ver1,3,1,1,0.476208,,0.476208,0.685457,,0.685457,0.035545,,0.035545
gsm8k_ver1_vs_gpqa_ver1,4,1,1,0.470576,,0.470576,0.676746,,0.676746,0.025505,,0.025505
gsm8k_ver1_vs_gpqa_ver1,5,1,1,0.479521,,0.479521,0.688582,,0.688582,0.032967,,0.032967
gsm8k_ver1_vs_gpqa_ver1,6,1,1,0.43287,,0.43287,0.644057,,0.644057,0.027864,,0.027864
gsm8k_ver1_vs_gpqa_ver1,7,1,1,0.413342,,0.413342,0.620054,,0.620054,0.03165,,0.03165
gsm8k_ver1_vs_gpqa_ver1,8,1,1,0.430412,,0.430412,0.634652,,0.634652,0.043081,,0.043081
gsm8k_ver1_vs_gpqa_ver1,9,1,1,0.43323,,0.43323,0.621195,,0.621195,0.038732,,0.038732
gsm8k_ver1_vs_gpqa_ver1,10,1,1,0.43822,,0.43822,0.630699,,0.630699,0.038745,,0.038745
gsm8k_ver1_vs_gpqa_ver1,11,1,1,0.396831,,0.396831,0.589647,,0.589647,0.026405,,0.026405
gsm8k_ver1_vs_gpqa_ver1,12,1,1,0.380508,,0.380508,0.572434,,0.572434,0.033621,,0.033621
gsm8k_ver1_vs_gpqa_ver1,13,1,1,0.325642,,0.325642,0.527901,,0.527901,0.041906,,0.041906
gsm8k_ver1_vs_gpqa_ver1,14,1,1,0.32365,,0.32365,0.511147,,0.511147,0.040534,,0.040534
gsm8k_ver1_vs_gpqa_ver1,15,1,1,0.343557,,0.343557,0.535734,,0.535734,0.039664,,0.039664
