pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,v,19,8,1,8,0.07158,0.034773,0.08427,0.48892,0.060281,0.500384,0.005319,0.000273,0.005282
gpqa_orgn_vs_gpqa_ver1,v,20,8,1,8,0.062875,0.035128,0.059672,0.446947,0.060173,0.437181,0.005542,0.00083,0.005624
gpqa_orgn_vs_gpqa_ver1,v,21,8,1,8,0.089358,0.076087,0.062005,0.494828,0.071032,0.485414,0.005177,0.00059,0.005059
gpqa_orgn_vs_gpqa_ver1,v,22,8,1,8,0.073942,0.040034,0.077572,0.493556,0.044773,0.502178,0.006099,0.00181,0.005371
gpqa_orgn_vs_gpqa_ver1,v,23,8,1,8,0.057306,0.014897,0.059208,0.451787,0.035008,0.452388,0.005695,0.001888,0.004857
gpqa_orgn_vs_gpqa_ver1,v,24,8,1,8,0.061523,0.028105,0.054066,0.473453,0.063781,0.465253,0.004762,0.00051,0.004572
gpqa_orgn_vs_gpqa_ver1,v,25,8,1,8,0.077526,0.047512,0.074544,0.48081,0.055375,0.495352,0.006598,0.004346,0.004882
gpqa_orgn_vs_gpqa_ver1,v,26,8,1,8,0.075332,0.041681,0.053218,0.479582,0.039719,0.492774,0.007416,0.004704,0.005746
gpqa_orgn_vs_gpqa_ver1,v,27,8,1,8,0.076294,0.027656,0.068894,0.508612,0.042811,0.504787,0.005585,0.001155,0.005488
gpqa_orgn_vs_gpqa_ver1,v,28,8,1,8,0.04926,0.016935,0.047342,0.486407,0.034506,0.489416,0.007171,0.001114,0.007121
gpqa_orgn_vs_gpqa_ver1,v,29,8,1,8,0.105204,0.105945,0.058178,0.500802,0.070055,0.479659,0.014303,0.019027,0.007492
gpqa_orgn_vs_gpqa_ver1,v,30,8,1,8,0.072735,0.054983,0.052352,0.491903,0.04598,0.48549,0.007822,0.001439,0.00774
gpqa_orgn_vs_gpqa_ver1,v,31,8,1,8,0.088942,0.057586,0.075936,0.495531,0.079635,0.495602,0.007823,0.003533,0.006596
gpqa_orgn_vs_gpqa_ver1,v,32,8,1,8,0.092273,0.06893,0.06789,0.483687,0.05125,0.477427,0.009567,0.005766,0.007112
gpqa_orgn_vs_gpqa_ver1,v,33,8,1,8,0.042631,0.007767,0.043535,0.472288,0.028844,0.475919,0.007152,0.001238,0.007424
